municipio,data,taxa
170025,2019-01-01,23.264831329972857
170030,2019-01-01,17.822664488341008
170035,2019-01-01,51.94805194805195
170040,2019-01-01,11.339475549255846
170070,2019-01-01,48.73989538754161
170100,2019-01-01,54.455963975285364
170105,2019-01-01,37.86775415088844
170110,2019-01-01,14.598540145985401
170130,2019-01-01,41.68113928447377
170190,2019-01-01,55.0381033022862
170200,2019-01-01,49.313138429024306
170210,2019-01-01,47.0992408710589
170215,2019-01-01,33.16460115203351
170220,2019-01-01,25.167081457453648
170230,2019-01-01,84.29926238145416
170240,2019-01-01,35.01466830699347
170255,2019-01-01,25.526830328046927
170270,2019-01-01,15.970188980569603
170290,2019-01-01,27.675276752767527
170300,2019-01-01,27.19429857464366
170305,2019-01-01,36.58879819870532
170307,2019-01-01,28.316270964931388
170310,2019-01-01,33.73579545454545
170320,2019-01-01,67.27965911639382
170330,2019-01-01,30.64977523498161
170360,2019-01-01,22.716946842344388
170370,2019-01-01,41.84100418410041
170380,2019-01-01,18.505463517800493
170382,2019-01-01,52.747252747252745
170384,2019-01-01,22.736259391063662
170386,2019-01-01,34.230944774075766
170388,2019-01-01,38.75968992248062
170389,2019-01-01,21.978021978021978
170390,2019-01-01,31.66325200223505
170410,2019-01-01,13.769363166953529
170460,2019-01-01,64.01137980085348
170510,2019-01-01,45.00450045004501
170550,2019-01-01,47.70776874435411
170555,2019-01-01,14.427040395713108
170560,2019-01-01,21.924482338611448
170600,2019-01-01,34.001431639226915
170610,2019-01-01,37.04211826039237
170625,2019-01-01,52.264808362369344
170650,2019-01-01,44.2840741348204
170700,2019-01-01,19.422738154388185
170710,2019-01-01,28.985507246376812
170720,2019-01-01,23.617671575437623
170730,2019-01-01,27.742210840802393
170740,2019-01-01,13.641324117861041
170755,2019-01-01,44.32855280312908
170765,2019-01-01,32.30096902907087
170770,2019-01-01,23.712737127371273
170820,2019-01-01,37.960954446854664
170825,2019-01-01,46.349942062572424
170830,2019-01-01,15.615850087839158
170900,2019-01-01,38.40540748137337
170930,2019-01-01,44.747907263819776
170950,2019-01-01,42.124943737232684
170980,2019-01-01,49.62779156327544
171050,2019-01-01,51.12336876093099
171070,2019-01-01,11.937244201909959
171090,2019-01-01,13.238019592268996
171110,2019-01-01,20.601565718994646
171150,2019-01-01,38.97116134060795
171180,2019-01-01,59.27952576379389
171190,2019-01-01,26.952159916148833
171195,2019-01-01,20.852641334569046
171200,2019-01-01,67.00701978302489
171215,2019-01-01,10.400416016640667
171240,2019-01-01,5.347593582887701
171245,2019-01-01,38.61003861003861
171250,2019-01-01,25.1207729468599
171270,2019-01-01,37.257824143070046
171280,2019-01-01,8.756567425569177
171320,2019-01-01,64.11661551950898
171330,2019-01-01,39.45213637040345
171360,2019-01-01,42.78344029193406
171370,2019-01-01,35.103115401491884
171380,2019-01-01,18.023430459597478
171395,2019-01-01,36.60940580118277
171420,2019-01-01,44.35309389874513
171430,2019-01-01,28.219599794766545
171488,2019-01-01,32.15162027244268
171500,2019-01-01,28.169014084507044
171510,2019-01-01,32.2432058959005
171515,2019-01-01,25.72898799313894
171525,2019-01-01,25.71638501102131
171550,2019-01-01,44.96402877697842
171570,2019-01-01,24.892134085628943
171575,2019-01-01,31.335683509596553
171610,2019-01-01,43.900725825333645
171620,2019-01-01,50.722557182505504
171630,2019-01-01,63.930707362342744
171650,2019-01-01,39.77021652673442
171660,2019-01-01,36.598859477402335
171665,2019-01-01,16.432353478181486
171670,2019-01-01,28.031687995124923
171700,2019-01-01,60.71508882392624
171720,2019-01-01,23.11756935270806
171750,2019-01-01,53.56676247713614
171780,2019-01-01,19.582245430809397
171790,2019-01-01,46.025625077745985
171800,2019-01-01,3.185727938834024
171820,2019-01-01,81.68270137709867
171830,2019-01-01,15.417457305502847
171840,2019-01-01,21.71552660152009
171845,2019-01-01,33.482142857142854
171850,2019-01-01,13.97624039133473
171855,2019-01-01,47.36275565123789
171865,2019-01-01,9.389671361502348
171870,2019-01-01,56.457304163726185
171875,2019-01-01,13.89317690645261
171880,2019-01-01,16.981532583315644
171884,2019-01-01,71.11111111111111
171886,2019-01-01,31.948881789137378
171888,2019-01-01,11.648223645894001
171889,2019-01-01,8.456659619450317
171890,2019-01-01,49.69973079312487
171900,2019-01-01,17.445917655268666
172000,2019-01-01,27.6789244760775
172010,2019-01-01,20.66115702479339
172015,2019-01-01,31.545741324921135
172020,2019-01-01,1.6475821731608864
172025,2019-01-01,25.957170668397143
172030,2019-01-01,14.568158168574401
172049,2019-01-01,40.4040404040404
172065,2019-01-01,31.46400148065889
172080,2019-01-01,12.182965998449442
172085,2019-01-01,30.51881993896236
172090,2019-01-01,11.388838937840914
172093,2019-01-01,27.932960893854748
172097,2019-01-01,32.2234156820623
172100,2019-01-01,20.593259719115963
172110,2019-01-01,42.41219350563287
172120,2019-01-01,49.84696108439003
172125,2019-01-01,26.441036488630353
172130,2019-01-01,14.97566454511419
172208,2019-01-01,29.10211418300094
172210,2019-01-01,74.52339688041594
170025,2019-02-01,23.264831329972857
170030,2019-02-01,17.822664488341008
170035,2019-02-01,40.81632653061225
170040,2019-02-01,29.766123316796598
170070,2019-02-01,46.36233951497861
170100,2019-02-01,47.125353440150796
170105,2019-02-01,46.6064666472473
170110,2019-02-01,35.45359749739312
170130,2019-02-01,27.78742618964918
170190,2019-02-01,21.168501270110077
170200,2019-02-01,82.18856404837385
170210,2019-02-01,53.85936720784618
170215,2019-02-01,78.54773957060569
170220,2019-02-01,25.446715695869802
170230,2019-02-01,72.25651061267499
170240,2019-02-01,21.76587489353648
170255,2019-02-01,29.87182272431023
170270,2019-02-01,21.293585307426138
170290,2019-02-01,15.375153751537516
170300,2019-02-01,30.945236309077266
170305,2019-02-01,50.66141289051505
170307,2019-02-01,34.850795033761706
170310,2019-02-01,26.633522727272727
