H,I,Phi
-0.0007906010141596198,0.004203348886221647,0.0041998689994215965
-0.0009028664790093899,0.003101004520431161,0.0030987912323325872
-0.0010629271855577826,0.002848896663635969,0.0028472444973886013
-0.0012604999355971813,0.002935292199254036,0.002934014657512307
-0.0015773281920701265,0.003230632748454809,0.0032299659214913845
-0.0017653706017881632,0.0037109004333615303,0.003710392862558365
-0.0021649575792253017,0.004408945795148611,0.004409327171742916
-0.0024976483546197414,0.0053513674065470695,0.005352379754185677
-0.0029582830611616373,0.006577853113412857,0.006580180488526821
-0.00348779559135437,0.00819902028888464,0.008203177712857723
-0.0041800569742918015,0.010307949967682362,0.010315356776118279
-0.004917748272418976,0.013059421442449093,0.013070852495729923
-0.0057468898594379425,0.01663869246840477,0.016655471175909042
-0.006802134215831757,0.021290889009833336,0.021316366270184517
-0.008019975386559963,0.02733597904443741,0.027373604476451874
-0.009495285339653492,0.035071708261966705,0.03512761741876602
-0.011300187557935715,0.044967569410800934,0.045051347464323044
-0.013557741418480873,0.05746639519929886,0.057594090700149536
-0.016148516908288002,0.07306617498397827,0.07325559854507446
-0.019293108955025673,0.09211517125368118,0.09239743649959564
-0.023009637370705605,0.1149817407131195,0.11539889872074127
-0.027199799194931984,0.14186620712280273,0.14246749877929688
-0.032209448516368866,0.17252002656459808,0.1733890026807785
-0.03755220025777817,0.20648743212223053,0.20769596099853516
-0.04343637824058533,0.24309739470481873,0.24474672973155975
-0.049655355513095856,0.2812342643737793,0.2834252715110779
-0.05589229241013527,0.3200906217098236,0.32290199398994446
-0.06206393986940384,0.35846808552742004,0.3619699478149414
-0.0681457445025444,0.39543887972831726,0.39969658851623535
-0.07376360893249512,0.43028631806373596,0.43530717492103577
-0.07886005192995071,0.4626184105873108,0.46838557720184326
-0.08333277702331543,0.49188947677612305,0.4983534812927246
-0.0872456505894661,0.5183306932449341,0.5254363417625427
-0.09063094109296799,0.5415107607841492,0.5491959452629089
-0.09375161677598953,0.5617607831954956,0.5700016021728516
-0.09637006372213364,0.5796705484390259,0.5883916616439819
-0.09862332791090012,0.595194399356842,0.6043397784233093
-0.10078480839729309,0.6089988350868225,0.6185616254806519
-0.10260871052742004,0.621199905872345,0.6311217546463013
-0.10437778383493423,0.632060170173645,0.6423376202583313
-0.10608813166618347,0.6417189836502075,0.6523470282554626
-0.10767117887735367,0.650282084941864,0.6612401008605957
-0.1091417595744133,0.6579859256744385,0.669255256652832
-0.11054454743862152,0.6650524735450745,0.6766231060028076
-0.11199263483285904,0.6717091202735901,0.6835954785346985
-0.11332597583532333,0.677782416343689,0.6899633407592773
-0.1147024929523468,0.6836044788360596,0.6960935592651367
-0.11604026705026627,0.6890932321548462,0.7018855810165405
-0.1173827052116394,0.6943796873092651,0.707480251789093
-0.11867747455835342,0.6992741823196411,0.7126756310462952
-0.12011860311031342,0.7041219472885132,0.7178627848625183
-0.12152262777090073,0.7090718746185303,0.7231472134590149
-0.12308056652545929,0.7135920524597168,0.7280440330505371
-0.12475594133138657,0.7182176113128662,0.7330803275108337
-0.1264319270849228,0.7231484651565552,0.7384272813796997
-0.12822981178760529,0.7277682423591614,0.7435004711151123
-0.13002899289131165,0.732622504234314,0.748814582824707
-0.13203337788581848,0.7375355362892151,0.7542480826377869
-0.13406413793563843,0.7420122623443604,0.7592607736587524
-0.13590405881404877,0.7468345761299133,0.764575183391571
-0.13766910135746002,0.7515260577201843,0.769744873046875
-0.13909341394901276,0.7557780146598816,0.7743869423866272
-0.14044912159442902,0.7596158385276794,0.7786000370979309
-0.1415950059890747,0.7634522914886475,0.7827559113502502
-0.142569899559021,0.7666551470756531,0.7862327098846436
-0.14316049218177795,0.7694888710975647,0.7892323136329651
-0.1436987817287445,0.7723063826560974,0.7922014594078064
-0.14402367174625397,0.7744045257568359,0.7943910956382751
-0.14417076110839844,0.7762643694877625,0.7962915897369385
-0.14440453052520752,0.7778799533843994,0.7979729175567627
-0.14451752603054047,0.7794795632362366,0.7996037602424622
-0.14450430870056152,0.7808470129966736,0.8009659051895142
-0.14448079466819763,0.7821384072303772,0.8022493124008179
-0.1445813775062561,0.7831940054893494,0.8033329248428345
-0.14452554285526276,0.7845751047134399,0.8046966195106506
-0.14445433020591736,0.7856062054634094,0.8057060241699219
-0.14440417289733887,0.7867028117179871,0.8067871332168579
-0.14437450468540192,0.787823498249054,0.807898223400116
-0.14429785311222076,0.7887356877326965,0.8087873458862305
-0.14409366250038147,0.7896906733512878,0.8096823692321777
-0.14405317604541779,0.7906216979026794,0.810600996017456
-0.1439155787229538,0.7915001511573792,0.8114388585090637
-0.14375394582748413,0.7923374772071838,0.8122289180755615
-0.14376011490821838,0.7931163311004639,0.8130087852478027
-0.1438242346048355,0.793786883354187,0.8136971592903137
-0.14376729726791382,0.7944681644439697,0.8143613338470459
-0.1437542736530304,0.7952938675880432,0.8151825666427612
-0.1436772644519806,0.7959776520729065,0.8158435225486755
-0.14363569021224976,0.7965282201766968,0.8163816332817078
-0.14360183477401733,0.7971745133399963,0.8170175552368164
-0.1436094045639038,0.7977913618087769,0.8176359534263611
-0.14366880059242249,0.7984320521354675,0.818293035030365
-0.1436745673418045,0.799160897731781,0.8190228343009949
-0.1435939222574234,0.7997474074363708,0.8195856809616089
-0.14357778429985046,0.8000785708427429,0.8199118375778198
-0.14349119365215302,0.8006014823913574,0.82040935754776
-0.143436461687088,0.8009015321731567,0.8206934332847595
-0.14333800971508026,0.8014141321182251,0.8211773037910461
-0.1433626264333725,0.8019142150878906,0.8216838836669922
-0.14323680102825165,0.8025317192077637,0.8222647905349731
-0.14321307837963104,0.8028683066368103,0.8225942254066467
-0.1432163119316101,0.8033065795898438,0.8230329751968384
-0.14319802820682526,0.8035528063774109,0.823273777961731
-0.14317438006401062,0.8041678667068481,0.8238813877105713
-0.14301545917987823,0.8045827150344849,0.8242504000663757
-0.14306636154651642,0.8050994277000427,0.8247811794281006
-0.14303696155548096,0.8053615689277649,0.8250346183776855
-0.1430394947528839,0.8057544231414795,0.825427770614624
-0.14309561252593994,0.806182324886322,0.825871467590332
-0.1430693417787552,0.8064637184143066,0.8261450529098511
-0.1430835723876953,0.8069262504577637,0.8266111016273499
-0.14301559329032898,0.8071580529212952,0.8268232941627502
-0.14298686385154724,0.8074352741241455,0.8270919919013977
-0.14299465715885162,0.8075809478759766,0.8272396922111511
-0.1430559605360031,0.8079452514648438,0.8276211619377136
-0.14303597807884216,0.8082030415534973,0.8278729915618896
-0.1431037187576294,0.8082301020622253,0.8279194831848145
-0.14315646886825562,0.8083235621452332,0.8280280232429504
-0.14305034279823303,0.8083717226982117,0.8280457258224487
-0.14305558800697327,0.8086091876029968,0.8282843828201294
-0.1431649923324585,0.8090301752090454,0.8287363648414612
-0.1431887000799179,0.8093343377113342,0.829046905040741
-0.14305199682712555,0.8096031546592712,0.8292763233184814
-0.14307531714439392,0.8096523880958557,0.8293322324752808
-0.14308303594589233,0.8097960948944092,0.8294780254364014
-0.14299942553043365,0.8101823329925537,0.8298398852348328
-0.14297199249267578,0.8102669715881348,0.8299166560173035
-0.1429814249277115,0.8105859756469727,0.8302380442619324
-0.1428852677345276,0.8107395768165588,0.8303640484809875
