H,I,Phi
-0.00023515202337875962,0.0035511814057826996,0.003547768807038665
-0.0002714447909966111,0.002227615565061569,0.0022255138028413057
-0.0002894459175877273,0.00178598053753376,0.0017843202222138643
-0.00032258644932881,0.0016316723776981235,0.0016301829600706697
-0.0003576336894184351,0.0016032344428822398,0.0016017965972423553
-0.0003925371274817735,0.0016452206764370203,0.0016437681624665856
-0.0004205801524221897,0.0017376928590238094,0.0017361727077513933
-0.0004528830759227276,0.0018710792064666748,0.0018694571917876601
-0.0005116661195643246,0.0020447808783501387,0.00204304582439363
-0.000569065916351974,0.00226114084944129,0.0022592563182115555
-0.0006256113993003964,0.0025205861311405897,0.002518516033887863
-0.0006803211872465909,0.0028306383173912764,0.0028283370193094015
-0.0007447090465575457,0.003198237158358097,0.003195668337866664
-0.0008227236685343087,0.003628755919635296,0.003625888843089342
-0.0009027586784213781,0.004136368166655302,0.004133143927901983
-0.000992984394542873,0.004729886539280415,0.004726252984255552
-0.0010904186638072133,0.00542317982763052,0.005419072695076466
-0.0011901900870725513,0.006232391111552715,0.006227721460163593
-0.001299242489039898,0.007175637874752283,0.007170319557189941
-0.0014136516256257892,0.008277738466858864,0.008271652273833752
-0.0015346454456448555,0.009565724059939384,0.009558738209307194
-0.00167202262673527,0.011062804609537125,0.011054796166718006
-0.0018194164149463177,0.012807323597371578,0.012798125855624676
-0.001966058276593685,0.014839996583759785,0.014829369261860847
-0.0021516787819564342,0.01720307022333145,0.017190901562571526
-0.002321776933968067,0.019944757223129272,0.019930671900510788
-0.0025220965035259724,0.023130429908633232,0.02311420440673828
-0.0027305290568619967,0.026814665645360947,0.02679593302309513
-0.0029523016419261694,0.031077327206730843,0.031055694445967674
-0.0031873052939772606,0.03598363324999809,0.03595865145325661
-0.0034493515267968178,0.04162619262933731,0.04159744083881378
-0.003715568222105503,0.04809142276644707,0.04805826395750046
-0.004003326408565044,0.055464647710323334,0.05542651191353798
-0.004297527484595776,0.06384581327438354,0.06380193680524826
-0.0046067917719483376,0.073316790163517,0.0732664093375206
-0.004937948193401098,0.08395510911941528,0.08389750868082047
-0.005254107527434826,0.09584519267082214,0.09577920287847519
-0.005593666806817055,0.10902554541826248,0.10895036906003952
-0.005947994068264961,0.12353336066007614,0.12344810366630554
-0.006300354842096567,0.13937251269817352,0.13927610218524933
-0.006652559619396925,0.15651868283748627,0.1564100980758667
-0.007006633561104536,0.1749064028263092,0.17478467524051666
