H,I,Phi
0.005013379268348217,0.0034224495757371187,0.0034442413598299026
0.005503559485077858,0.002103449311107397,0.0021316842176020145
0.0060369763523340225,0.0016273217042908072,0.0016621777322143316
0.006659224629402161,0.0014183257007971406,0.001461285981349647
0.0072853825986385345,0.0013256330275908113,0.0013774153776466846
0.008022838272154331,0.0012897681444883347,0.0013528745621442795
0.008843781426548958,0.0012924945913255215,0.0013694448862224817
0.009727004915475845,0.0013220353284850717,0.0014153587399050593
0.010707760229706764,0.00137388426810503,0.0014871987514197826
0.011805390007793903,0.0014475013595074415,0.001585455029271543
0.01296489592641592,0.001539857592433691,0.0017064422136172652
0.01424860768020153,0.0016554668545722961,0.001856873044744134
0.01566796749830246,0.0017925347201526165,0.002036269288510084
0.01721392571926117,0.001954699167981744,0.00224910955876112
0.018924729898571968,0.002146506682038307,0.0025025559589266777
0.02080714888870716,0.0023739261087030172,0.002804545219987631
0.022872887551784515,0.002633655909448862,0.0031542531214654446
0.02512313425540924,0.002938198857009411,0.003566501662135124
0.027591131627559662,0.0032918720971792936,0.004049927927553654
0.030305098742246628,0.003701809560880065,0.004616593010723591
0.03331494331359863,0.004178502596914768,0.005284307524561882
0.03658013045787811,0.004730958491563797,0.0060644447803497314
0.04017120599746704,0.005378276109695435,0.006986749824136496
0.04409337416291237,0.006121011450886726,0.008059259504079819
0.048412419855594635,0.006983237806707621,0.009320180863142014
0.05315907672047615,0.00798465684056282,0.010802746750414371
0.05835748463869095,0.009137531742453575,0.012534205801784992
0.06400217115879059,0.010470747016370296,0.014556799083948135
0.07019121199846268,0.012004045769572258,0.016919128596782684
0.07694229483604431,0.013785445131361485,0.01969209872186184
0.08430099487304688,0.015835054218769073,0.022926248610019684
0.09227512776851654,0.0181810911744833,0.026678035035729408
0.1009693518280983,0.020875176414847374,0.03104960173368454
0.11040369421243668,0.023961685597896576,0.03612725809216499
0.1206180602312088,0.027471449226140976,0.041993334889411926
0.13162033259868622,0.03146887198090553,0.04876205697655678
