H,I,Phi
-0.0024494423996657133,0.003414514474570751,0.003417179686948657
-0.0027541606687009335,0.002304473891854286,0.002309808973222971
-0.0030755973421037197,0.001962854526937008,0.001970397075638175
-0.003462372347712517,0.0018876170506700873,0.0018977615982294083
-0.0038582473061978817,0.0019372189417481422,0.0019502133363857865
-0.004323646426200867,0.0020710525568574667,0.0020877239294350147
-0.004856186453253031,0.002282812027260661,0.002304165158420801
-0.00545177748426795,0.002563683781772852,0.002590901916846633
-0.006067747250199318,0.0029186897445470095,0.002952657174319029
-0.0067933714017271996,0.003359893336892128,0.0034027621150016785
-0.007694710977375507,0.00389649486169219,0.00395189831033349
-0.008612330071628094,0.004555771127343178,0.004625494591891766
-0.009678523987531662,0.005348967853933573,0.005437417887151241
-0.010930697433650494,0.006301719229668379,0.006415045820176601
-0.012262208387255669,0.00745813362300396,0.007601211778819561
-0.013768957927823067,0.008848088793456554,0.009029032662510872
-0.015493513084948063,0.010522636584937572,0.010752410627901554
-0.01742512732744217,0.012505407445132732,0.012796830385923386
-0.019634107127785683,0.014875652268528938,0.015246624127030373
-0.022085601463913918,0.017701270058751106,0.018171757459640503
-0.02489972859621048,0.02104654535651207,0.021645987406373024
-0.028070425614714622,0.024991430342197418,0.02575497515499592
-0.03160351514816284,0.029620196670293808,0.030590053647756577
-0.03555165231227875,0.035013679414987564,0.03624340519309044
-0.039972804486751556,0.0412733368575573,0.04283085837960243
-0.04496106505393982,0.0484943687915802,0.05046851187944412
-0.05044478550553322,0.056744374334812164,0.059233639389276505
-0.056474603712558746,0.06612419337034225,0.06924900412559509
-0.0631244108080864,0.07664550840854645,0.08055534213781357
-0.07032965123653412,0.08834689855575562,0.09320687502622604
-0.07817322015762329,0.10122322291135788,0.10723541676998138
-0.08656066656112671,0.11522845178842545,0.12260868400335312
-0.09553270041942596,0.13034427165985107,0.1393434852361679
-0.10501737147569656,0.14646759629249573,0.1573532074689865
-0.11496056616306305,0.16348879039287567,0.17654505372047424
-0.1252691000699997,0.18132364749908447,0.19683891534805298
-0.13592220842838287,0.19984719157218933,0.21812689304351807
-0.14683669805526733,0.21892456710338593,0.24027179181575775
-0.1579628437757492,0.23831354081630707,0.26303306221961975
-0.16923853754997253,0.25801944732666016,0.2864091694355011
-0.18061771988868713,0.27791160345077515,0.3102629780769348
-0.19196082651615143,0.29789385199546814,0.33445191383361816
-0.20327186584472656,0.3178479075431824,0.3588569462299347
-0.21447260677814484,0.3376453220844269,0.3833141326904297
-0.2254844605922699,0.3571966588497162,0.40769103169441223
-0.23627476394176483,0.3764140009880066,0.43187215924263
-0.2467617690563202,0.3952583074569702,0.45576369762420654
-0.25699639320373535,0.41350147128105164,0.47914478182792664
-0.26676350831985474,0.431216835975647,0.5019584894180298
-0.27609845995903015,0.4482002556324005,0.5239928960800171
-0.2850727140903473,0.4643310010433197,0.5451439619064331
-0.29365304112434387,0.479635626077652,0.5653993487358093
-0.3017669916152954,0.493927001953125,0.5845080018043518
-0.30948808789253235,0.5072681903839111,0.6025556921958923
-0.31679537892341614,0.5195273160934448,0.6193792819976807
-0.3237284719944,0.5308448076248169,0.6351265907287598
-0.3302987813949585,0.5410919189453125,0.6496608257293701
-0.33644241094589233,0.5503950119018555,0.6630510091781616
-0.34227070212364197,0.5588058829307556,0.6754094362258911
-0.34776508808135986,0.5662598013877869,0.6866474151611328
-0.352840393781662,0.572906494140625,0.6968433856964111
-0.357490211725235,0.5787578225135803,0.7059919238090515
-0.3617550730705261,0.5838124752044678,0.7141090631484985
-0.3657684326171875,0.5882096886634827,0.7214218378067017
-0.36934804916381836,0.5917832255363464,0.7276232242584229
-0.3726012110710144,0.5947325825691223,0.7329834699630737
-0.37564778327941895,0.5972047448158264,0.7377327680587769
-0.3785148859024048,0.599216878414154,0.7419052124023438
-0.38118523359298706,0.6006714105606079,0.7453870177268982
-0.38372212648391724,0.6019144058227539,0.7485692501068115
-0.386140912771225,0.6027593016624451,0.7512754797935486
-0.3884889781475067,0.6032980680465698,0.7536326050758362
-0.3907647728919983,0.6037188172340393,0.7558263540267944
-0.3929401934146881,0.6039588451385498,0.7577710747718811
-0.39507365226745605,0.604022204875946,0.7595154643058777
-0.39713025093078613,0.6039064526557922,0.7610291242599487
-0.39921796321868896,0.6038464903831482,0.7626318335533142
-0.40122291445732117,0.6035854816436768,0.7639757990837097
-0.4032531678676605,0.6033264994621277,0.765350341796875
-0.4052276015281677,0.6029185056686401,0.7665390372276306
-0.4072226285934448,0.6024414300918579,0.7676834464073181
-0.4092346429824829,0.6020532250404358,0.7689382433891296
-0.4111490547657013,0.6015632152557373,0.7700192928314209
-0.4130907356739044,0.600938081741333,0.7709951400756836
-0.41511070728302,0.6004594564437866,0.7721900343894958
-0.4170406460762024,0.5998597145080566,0.773196816444397
-0.41894251108169556,0.5992431640625,0.7741707563400269
-0.4208594262599945,0.5984889268875122,0.7750271558761597
-0.4227215647697449,0.59771728515625,0.775827169418335
-0.4246063828468323,0.5970772504806519,0.7767847776412964
-0.42650747299194336,0.5963440537452698,0.7776702046394348
-0.4284416437149048,0.5955780744552612,0.7785586714744568
-0.4303652048110962,0.5947845578193665,0.7794179916381836
-0.43224841356277466,0.593984842300415,0.780243456363678
-0.4341281056404114,0.593121349811554,0.7810093760490417
-0.436023086309433,0.5922197699546814,0.7817575335502625
-0.4379352927207947,0.5914162397384644,0.7826260328292847
-0.4397980868816376,0.5904881954193115,0.7833338379859924
-0.44165143370628357,0.5894917845726013,0.7839721441268921
-0.4434807002544403,0.5885664820671082,0.7846668362617493
-0.4453482925891876,0.5876982808113098,0.7854593992233276
-0.4472779631614685,0.5867344737052917,0.7862191200256348
-0.4491404592990875,0.5858049988746643,0.7869600653648376
-0.4509807825088501,0.5847126841545105,0.7875254154205322
-0.4528370201587677,0.5838252902030945,0.788316547870636
-0.4547037184238434,0.5829166173934937,0.7891028523445129
-0.4566105306148529,0.5819070935249329,0.7898320555686951
-0.45847493410110474,0.5809095501899719,0.7905415296554565
-0.4603773355484009,0.5799252986907959,0.7913062572479248
-0.4622167944908142,0.5788781046867371,0.7919571995735168
-0.46408286690711975,0.5778672099113464,0.792675793170929
-0.4659205675125122,0.5768013000488281,0.7933200001716614
-0.4677859842777252,0.5757877230644226,0.7940492033958435
-0.46966245770454407,0.5746933817863464,0.7947150468826294
-0.4715396761894226,0.5736826658248901,0.7954720854759216
-0.4733714461326599,0.5725682973861694,0.7960896492004395
-0.47525864839553833,0.5714931488037109,0.7968059778213501
-0.4771341383457184,0.5703745484352112,0.7974745631217957
-0.4789679944515228,0.5693097710609436,0.7981641888618469
-0.48077869415283203,0.5682235956192017,0.7988168597221375
-0.4826458990573883,0.5670978426933289,0.7994911670684814
-0.4844832122325897,0.5659553408622742,0.8001266121864319
-0.4863053858280182,0.564733624458313,0.8006750345230103
-0.48817163705825806,0.5636115074157715,0.8013727068901062
-0.49004697799682617,0.5623739361763,0.8019708395004272
-0.49187126755714417,0.561156153678894,0.802545428276062
-0.4937759041786194,0.5598903298377991,0.8031582236289978
-0.4956188201904297,0.5586816072463989,0.8037740588188171
-0.49748533964157104,0.5574771165847778,0.8044243454933167
-0.4993610978126526,0.556280255317688,0.8050985336303711
-0.5012203454971313,0.5551688075065613,0.8058484792709351
-0.5030072927474976,0.5538867712020874,0.8063620924949646
-0.5048438906669617,0.5526175498962402,0.806945264339447
-0.5067284107208252,0.5513503551483154,0.807585597038269
-0.5085544586181641,0.5500220656394958,0.8081125020980835
-0.5103703737258911,0.5487214922904968,0.8086634874343872
-0.5122555494308472,0.5474395155906677,0.8093106746673584
-0.514071524143219,0.5460842847824097,0.8098205327987671
-0.5158782005310059,0.5447427034378052,0.8103410005569458
-0.5176959037780762,0.5435077548027039,0.8109859824180603
-0.5195448994636536,0.5421659350395203,0.8115633726119995
-0.5213843584060669,0.5409374237060547,0.8122508525848389
-0.5232589244842529,0.5396060943603516,0.8128790259361267
-0.525094747543335,0.5382407307624817,0.813439667224884
-0.5268939733505249,0.5368301272392273,0.813923180103302
-0.5287643074989319,0.5355180501937866,0.8145868182182312
-0.530580997467041,0.5341373682022095,0.8151318430900574
-0.5324304103851318,0.5328149199485779,0.8157766461372375
-0.5342848300933838,0.531456708908081,0.816398024559021
-0.5360832810401917,0.5300003886222839,0.8168680667877197
-0.5378882884979248,0.5286566019058228,0.8174641132354736
-0.5397740602493286,0.5272124409675598,0.818053662776947
-0.5415612459182739,0.5257591009140015,0.8185341954231262
-0.5433736443519592,0.5243555307388306,0.8190984129905701
-0.545215368270874,0.5229067206382751,0.8196558952331543
-0.5470839142799377,0.5214657783508301,0.8202574253082275
-0.5488990545272827,0.5199601054191589,0.8207424283027649
-0.5507734417915344,0.5185174345970154,0.8213624358177185
-0.5526280999183655,0.5170329213142395,0.8219258785247803
-0.5544862151145935,0.5155882835388184,0.822539746761322
-0.5562670230865479,0.5140647888183594,0.8229957818984985
-0.5581009387969971,0.5125720500946045,0.8235481381416321
-0.5599610805511475,0.5110478401184082,0.8241050839424133
-0.561813473701477,0.5095598101615906,0.8246966600418091
-0.5636193752288818,0.5080534815788269,0.8252241611480713
-0.5654633641242981,0.5064541697502136,0.8257084488868713
-0.567274808883667,0.5049017071723938,0.8262094259262085
-0.5691565275192261,0.5034348368644714,0.8268823623657227
-0.5709667205810547,0.5018292665481567,0.82734215259552
-0.5727930068969727,0.500321626663208,0.8279247879981995
-0.5746842622756958,0.49881500005722046,0.828589916229248
-0.5765032768249512,0.4972107410430908,0.829081118106842
-0.5783373117446899,0.49566057324409485,0.8296505212783813
-0.5801617503166199,0.4940900504589081,0.8301951289176941
-0.5819371342658997,0.4925124943256378,0.8306822776794434
-0.5837722420692444,0.49097469449043274,0.8312852382659912
-0.5855544209480286,0.4893384277820587,0.8317345380783081
-0.587385892868042,0.4877149760723114,0.8322609066963196
-0.5893041491508484,0.48608243465423584,0.8328871726989746
-0.5910804271697998,0.48450767993927,0.8334106802940369
-0.5928978323936462,0.4829148054122925,0.8339709639549255
-0.5947873592376709,0.4812747538089752,0.8345767259597778
-0.5965594053268433,0.47961390018463135,0.8350287079811096
-0.5984182953834534,0.4778108596801758,0.8354487419128418
-0.6002198457717896,0.4761047065258026,0.8359036445617676
-0.602042555809021,0.47442618012428284,0.8364181518554688
-0.6038838624954224,0.47276249527931213,0.8369764685630798
-0.6056889295578003,0.47109973430633545,0.837498664855957
-0.6075512766838074,0.46939319372177124,0.838053286075592
-0.6094066500663757,0.467719167470932,0.8386389017105103
-0.6111600995063782,0.4659682512283325,0.839029848575592
-0.6129228472709656,0.46430185437202454,0.8395228981971741
-0.6147112846374512,0.4625774025917053,0.8399956226348877
-0.6164847016334534,0.4607991576194763,0.8404026031494141
-0.6183308362960815,0.45905449986457825,0.8409392237663269
-0.6201601028442383,0.4573219418525696,0.8414738774299622
-0.6219460964202881,0.4555422365665436,0.8419143557548523
-0.6237547397613525,0.4537770450115204,0.842403769493103
-0.6255245804786682,0.4520862400531769,0.8429257869720459
-0.6273403167724609,0.4503145217895508,0.8434306383132935
-0.6291303634643555,0.44850534200668335,0.8438722491264343
-0.630955696105957,0.4467918574810028,0.8444607257843018
-0.6328055262565613,0.4449768364429474,0.8449850678443909
-0.6346126794815063,0.44321078062057495,0.8455111980438232
-0.6363880038261414,0.4414244592189789,0.8459831476211548
-0.6382150650024414,0.43964141607284546,0.8465304970741272
-0.6400828957557678,0.4377460777759552,0.8470247387886047
-0.6418853998184204,0.43594321608543396,0.8475343585014343
-0.6437340378761292,0.4341001510620117,0.8480697870254517
-0.6455420851707458,0.432260662317276,0.8485631346702576
-0.6472955942153931,0.4304712116718292,0.8490422964096069
-0.6491394639015198,0.42867395281791687,0.8496372699737549
-0.6509495973587036,0.42688292264938354,0.8502014875411987
-0.6527847647666931,0.42496344447135925,0.8506763577461243
-0.6545717120170593,0.4231301546096802,0.8511810302734375
-0.6563832759857178,0.42118918895721436,0.8516167402267456
-0.6582096815109253,0.419251412153244,0.8520820140838623
-0.6600797176361084,0.4172944128513336,0.8525920510292053
-0.6619020700454712,0.41542625427246094,0.8531348705291748
-0.6636750102043152,0.4135405719280243,0.8536012768745422
-0.665497899055481,0.41168057918548584,0.8541660308837891
-0.6673505902290344,0.4096807539463043,0.8546375036239624
-0.6691389679908752,0.40779566764831543,0.8551444411277771
-0.670969545841217,0.40587401390075684,0.8556777834892273
-0.6728036403656006,0.4039498567581177,0.8562201261520386
-0.674589216709137,0.4019988775253296,0.8566769361495972
-0.6763931512832642,0.4001094400882721,0.8572263121604919
-0.6781840920448303,0.39815253019332886,0.8576973676681519
-0.6799432635307312,0.3961932361125946,0.8581291437149048
-0.6817875504493713,0.3942173421382904,0.8586666584014893
-0.6836097836494446,0.39221814274787903,0.8591574430465698
-0.6853797435760498,0.39020776748657227,0.859572172164917
-0.6871476769447327,0.38824906945228577,0.8600418567657471
-0.6890014410018921,0.3862667977809906,0.8606126308441162
-0.6908206939697266,0.3842689096927643,0.8611268997192383
-0.6926228404045105,0.3821752071380615,0.8615282773971558
-0.6944085359573364,0.3802224397659302,0.8620544672012329
-0.696233332157135,0.3781934678554535,0.8625650405883789
-0.6980316042900085,0.3761482238769531,0.8630290627479553
-0.699852466583252,0.374126672744751,0.863554835319519
-0.7016258239746094,0.37209492921829224,0.8640105128288269
-0.7034618854522705,0.37001046538352966,0.8645077347755432
-0.7053142786026001,0.36791491508483887,0.8650237321853638
-0.7071706652641296,0.36584365367889404,0.8655766248703003
-0.7090067863464355,0.36372441053390503,0.8660597801208496
-0.7108099460601807,0.36166054010391235,0.8665581345558167
-0.7126269936561584,0.35959044098854065,0.8670765161514282
-0.7144529223442078,0.35741493105888367,0.8675089478492737
-0.7162342667579651,0.3553391396999359,0.8679835796356201
-0.7180633544921875,0.35325682163238525,0.868526816368103
-0.7198966145515442,0.35114777088165283,0.869055986404419
-0.7216590642929077,0.3490285277366638,0.8694794178009033
-0.7234693765640259,0.34693923592567444,0.8700083494186401
-0.7252942323684692,0.3448302745819092,0.8705452680587769
-0.7270426750183105,0.34270015358924866,0.8709565997123718
-0.7288925647735596,0.3405627906322479,0.871514618396759
-0.73075270652771,0.3384009897708893,0.8720700740814209
-0.7325446605682373,0.33618226647377014,0.8724756240844727
-0.7343347072601318,0.33400794863700867,0.8729293346405029
-0.7361235618591309,0.3319001793861389,0.8734540343284607
-0.7378870844841003,0.32974931597709656,0.873904824256897
-0.7397133111953735,0.3275373876094818,0.8743933439254761
-0.7415224313735962,0.3253445029258728,0.8748822808265686
-0.7432929277420044,0.32321903109550476,0.8753876686096191
-0.7451192736625671,0.32097095251083374,0.8758602738380432
-0.7469745874404907,0.3187893033027649,0.8764490485191345
-0.7487894296646118,0.3165740668773651,0.8769504427909851
-0.750580370426178,0.3144318461418152,0.8774956464767456
-0.752434492111206,0.31226620078086853,0.8781188726425171
-0.754284143447876,0.3100513815879822,0.8786931037902832
-0.7561410665512085,0.30779048800468445,0.8792392611503601
-0.7579180598258972,0.3055717945098877,0.879713237285614
-0.7597529888153076,0.30335676670074463,0.8802850246429443
-0.7615433931350708,0.3011184632778168,0.8807727694511414
-0.7633526921272278,0.29881933331489563,0.8812347650527954
-0.7651592493057251,0.2965644299983978,0.8817435503005981
-0.7669187188148499,0.2942917048931122,0.8821685314178467
-0.7686816453933716,0.2920297384262085,0.8826159834861755
-0.7704746723175049,0.2897808253765106,0.8831290602684021
-0.7723090648651123,0.28750866651535034,0.8836890459060669
-0.7741656303405762,0.28524017333984375,0.8842940330505371
-0.7760004997253418,0.28296002745628357,0.8848603367805481
-0.7778126001358032,0.2806510925292969,0.8853694200515747
-0.7796129584312439,0.27832716703414917,0.8858518004417419
-0.7813820838928223,0.2760857939720154,0.8863741755485535
-0.7831978797912598,0.27374061942100525,0.8868721127510071
-0.7850372791290283,0.2713998556137085,0.887418270111084
-0.7868320941925049,0.2690189480781555,0.8878609538078308
-0.7886337637901306,0.2666623890399933,0.8883452415466309
-0.7904196977615356,0.26428502798080444,0.8887901902198792
-0.7922820448875427,0.2619341313838959,0.8893892168998718
-0.7940805554389954,0.2595888078212738,0.8898992538452148
-0.795918345451355,0.25733840465545654,0.8905731439590454
-0.7976940870285034,0.25494474172592163,0.8910117149353027
-0.7995589375495911,0.2525975704193115,0.8916453719139099
-0.8013933897018433,0.25027623772621155,0.8922631740570068
-0.8032481670379639,0.24787740409374237,0.8928430080413818
-0.805009126663208,0.24544039368629456,0.8932403922080994
-0.8068609237670898,0.24308361113071442,0.8938707113265991
-0.8086693286895752,0.24071811139583588,0.8944290280342102
